Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
"25,581,085.00",0.00,2021-2022,1,XV Finance Commission,0,1,NAGARKURNOOL,1,0.00E+00,0,TELANGANA,1,289881,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"33,901,964.00",0.00,2021-2022,1,XV Finance Commission,0,1,SANGAREDDY,1,0.00E+00,0,TELANGANA,1,289882,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"24,983,953.00",0.00,2021-2022,1,XV Finance Commission,0,1,SIDDIPET,1,0.00E+00,0,TELANGANA,1,289883,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"28,049,135.00",0.00,2021-2022,1,XV Finance Commission,0,1,SURYAPET,1,0.00E+00,0,TELANGANA,1,289884,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"25,697,915.00",0.00,2021-2022,1,XV Finance Commission,0,1,VIKARABAD,1,0.00E+00,0,TELANGANA,1,289885,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"14,366,777.00",0.00,2021-2022,1,XV Finance Commission,0,1,WANAPARTHY,1,0.00E+00,0,TELANGANA,1,289886,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"20,485,390.00",0.00,2021-2022,1,XV Finance Commission,0,1,WARANGAL RURAL,1,27667991,0,TELANGANA,0,289887,1,27667991,South,0.00E+00,27667991,36,0.00E+00,0
"19,556,973.00",0.00,2021-2022,1,XV Finance Commission,0,1,YADADRI BHUVANAGIRI,1,0.00E+00,0,TELANGANA,1,289888,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"10,610,685.00",0.00,2021-2022,1,XV Finance Commission,0,1,Mulugu,1,0.00E+00,0,TELANGANA,1,289889,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
"15,118,741.00",0.00,2021-2022,1,XV Finance Commission,0,1,Narayanpet,1,0.00E+00,0,TELANGANA,1,289890,0,0.00E+00,South,0.00E+00,0.00E+00,36,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,SHI YOMI,1,0.00E+00,12,ARUNACHAL PRADESH,1,290215,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,LEPARADA,1,0.00E+00,12,ARUNACHAL PRADESH,1,290216,0,0.00E+00,North East,0.00E+00,0.00E+00,12,0.00E+00,0
"27,446,489.00","3,387,122.00",2021-2022,0,XV Finance Commission,1,0,TENKASI,1,37267928,33,TAMIL NADU,1,296956,0,18718676,South,17517469,33880806,33,18549252,1
"24,193,816.00",0.00,2021-2022,1,XV Finance Commission,1,0,RANIPET,1,24419233,33,TAMIL NADU,1,296957,0,0.00E+00,South,20418908,24419233,33,24419233,0
"23,171,648.00",0.00,2021-2022,0,XV Finance Commission,1,0,TIRUPATHUR,1,23386611,33,TAMIL NADU,1,296958,0,18752282,South,14789091,23386611,33,4634329,1
"40,378,596.00",0.00,2021-2022,0,XV Finance Commission,1,0,KALLAKURICHI,1,41466944,33,TAMIL NADU,1,296959,0,27561050,South,25771267,41466944,33,13905894,1
"35,552,826.00",0.00,2021-2022,0,XV Finance Commission,1,0,CHENGALPATTU,1,36148436,33,TAMIL NADU,1,296974,0,19915290,South,22691282,36148436,33,16233146,1
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,Malerkotla,1,0.00E+00,3,PUNJAB,1,299093,0,0.00E+00,North,0.00E+00,0.00E+00,3,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,CHARKHI DADRI,1,0.00E+00,6,HARYANA,1,299182,0,0.00E+00,North,0.00E+00,0.00E+00,6,0.00E+00,0
